Date and time,Mode,Distance,Duration,Price
2022-07-21 14:22,Bus,2.1,0.07,1.5
2022-02-17 18:39,Bus,1.9,0.07,1.5
2022-02-24 12:45,Bus,3.7,0.14,1.5
2022-01-13 18:04,Bus,2.2,0.11,1.5
2022-05-14 22:44,Bus,1.6,0.1,1.5
2022-04-13 20:36,Bus,0.7,0.03,1.5
2022-09-10 15:00,Bus,1.9,0.09,1.5
2022-12-22 08:08,Bus,2.2,0.09,1.5
2022-02-15 18:20,Bus,0.5,0.03,1.5
2022-01-27 12:56,Bus,0.9,0.05,1.5
2022-05-20 16:10,Bus,3.3,0.15,1.5
2022-11-02 17:20,Bus,5.1,0.28,1.5
2022-12-22 15:52,Bus,2.5,0.12,1.5
2022-05-11 16:16,Bus,4.6,0.27,1.5
2022-01-12 20:16,Bus,6.4,0.27,1.5
2022-01-08 20:44,Bus,4.5,0.17,1.5
2022-12-06 13:06,Bus,2.6,0.14,1.5
2022-05-14 17:14,Bus,3.6,0.15,1.5
2022-07-12 19:13,Bus,7.0,0.32,1.5
2022-12-24 13:16,Bus,2.1,0.09,1.5
2022-04-15 21:43,Bus,3.1,0.13,1.5
2022-09-07 14:19,Bus,2.5,0.13,1.5
2022-07-07 15:14,Bus,8.4,0.32,1.5
2022-02-18 13:50,Bus,1.9,0.07,1.5
2022-05-27 08:04,Bus,4.2,0.24,1.5
2022-11-30 09:06,Bus,3.3,0.15,1.5
2022-12-12 19:29,Bus,2.7,0.12,1.5
2022-05-19 20:08,Bus,0.7,0.03,1.5
2022-10-31 08:18,Bus,2.0,0.08,1.5
2022-01-31 09:23,Bus,2.6,0.11,1.5
2022-07-15 17:30,Bus,2.6,0.15,1.5
2022-10-26 09:21,Bus,3.6,0.15,1.5
2022-08-15 09:10,Bus,1.5,0.07,1.5
2022-06-15 17:14,Bus,2.8,0.11,1.5
2022-10-31 10:45,Bus,1.9,0.09,1.5
2022-03-23 21:21,Bus,0.7,0.03,1.5
2022-01-07 11:31,Bus,2.3,0.09,1.5
2022-04-04 18:18,Bus,2.1,0.06,1.5
2022-11-22 07:21,Bus,2.1,0.1,1.5
2022-10-07 15:20,Bus,3.5,0.11,1.5
2022-02-03 13:11,Bus,5.8,0.19,1.5
2022-11-01 08:56,Bus,3.3,0.13,1.5
2022-07-31 11:49,Bus,0.5,0.03,1.5
2022-04-03 20:29,Bus,3.2,0.13,1.5
2022-03-06 07:52,Bus,1.7,0.08,1.5
